frame_idx,timestamp_sec,torchere,class_name,confidence,qualite,x1,y1,x2,y2,dark_ratio,flame_ratio,smoke_ratio,mean_intensity
216,7.207,Torchere A,Medium-Flare,0.7692,moyenne,112,467,301,570,0.067,0.239,0.372,0.651
217,7.241,Torchere A,Medium-Flare,0.7372,mauvaise,104,467,299,569,0.063,0.225,0.381,0.649
217,7.241,Torchere A,Dark-Flare,0.4663,mauvaise,104,468,298,570,0.063,0.226,0.384,0.651
218,7.274,Torchere A,Medium-Flare,0.6109,mauvaise,99,468,302,571,0.066,0.221,0.403,0.643
218,7.274,Torchere A,Dark-Flare,0.6001,mauvaise,100,468,301,572,0.065,0.221,0.403,0.644
219,7.307,Torchere A,Medium-Flare,0.6898,mauvaise,90,467,307,576,0.069,0.196,0.45,0.631
219,7.307,Torchere A,Dark-Flare,0.6095,mauvaise,92,470,305,577,0.072,0.204,0.452,0.633
220,7.341,Torchere A,Medium-Flare,0.6495,moyenne,82,472,301,574,0.063,0.21,0.455,0.642
221,7.374,Torchere A,Medium-Flare,0.5609,moyenne,93,470,302,564,0.061,0.258,0.401,0.657
222,7.407,Torchere A,Dark-Flare,0.4049,mauvaise,139,469,308,553,0.075,0.361,0.308,0.683
223,7.441,Torchere A,Medium-Flare,0.7117,moyenne,133,466,312,555,0.071,0.334,0.347,0.671
